Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Christian McCaffrey,SF,218.0,1034.0,7.2,75.00,64.00,545.0,3.60,286.7
Austin Ekeler,LAC,195.0,837.0,8.8,82.00,70.00,536.0,4.20,285.3
Saquon Barkley,NYG,279.0,1199.0,8.9,68.00,51.00,379.0,0.80,267.0
Jonathan Taylor,IND,288.0,1440.0,9.5,39.00,29.00,217.0,1.50,260.7
Nick Chubb,CLE,272.0,1359.0,9.5,40.00,32.00,265.0,1.20,258.6
Tony Pollard,DAL,206.0,1032.0,7.2,69.00,54.00,444.0,2.10,257.4
Bijan Robinson,ATL,285.0,1282.0,10.0,39.00,31.00,226.0,1.70,252.0
Josh Jacobs,LV,261.0,1148.0,9.7,51.00,43.00,312.0,0.70,251.4
Derrick Henry,TEN,308.0,1325.0,10.2,37.00,29.00,250.0,0.60,251.3
Rhamondre Stevenson,NE,219.0,985.0,7.2,72.00,57.00,408.0,1.60,249.1
Aaron Jones,GB,182.0,946.0,5.1,61.00,49.00,396.0,3.20,233.0
Breece Hall,NYJ,211.0,1003.0,6.8,59.00,46.00,368.0,1.30,231.7
Najee Harris,PIT,240.0,962.0,7.7,52.00,41.00,243.0,1.90,219.1
Dameon Pierce,HOU,217.0,932.0,6.9,54.00,44.00,322.0,1.20,218.0
Joe Mixon,CIN,215.0,839.0,6.9,54.00,46.00,337.0,2.00,217.0
Travis Etienne,JAC,200.0,1002.0,6.4,45.00,36.00,286.0,1.40,211.6
Rachaad White,TB,196.0,783.0,6.3,63.00,52.00,335.0,1.30,209.4
Alexander Mattison,MIN,221.0,884.0,7.3,47.00,39.00,287.0,1.40,208.3
Miles Sanders,CAR,227.0,978.0,7.3,44.00,34.00,252.0,0.90,206.2
Jahmyr Gibbs,DET,140.0,645.0,4.6,62.00,51.00,411.0,3.00,202.2
Cam Akers,LA,216.0,886.0,6.9,37.00,29.00,229.0,1.30,189.7
David Montgomery,DET,220.0,947.0,7.3,30.00,26.00,191.0,0.90,189.0
James Conner,ARI,198.0,772.0,6.3,48.00,41.00,264.0,1.00,188.4
Javonte Williams,DEN,195.0,841.0,6.3,40.00,32.00,238.0,1.10,184.3
James Cook,BUF,138.0,655.0,4.4,52.00,40.00,322.0,2.40,178.5
J.K. Dobbins,BAL,190.0,999.0,6.1,23.00,19.00,134.0,1.00,174.9
Kenneth Walker,SEA,197.0,888.0,6.9,26.00,21.00,145.0,1.00,171.7
Antonio Gibson,WAS,106.0,445.0,3.4,65.00,51.00,383.0,2.10,166.8
Alvin Kamara,NO,118.0,471.0,3.8,57.00,45.00,407.0,1.60,165.2
Brian Robinson,WAS,212.0,890.0,6.8,20.00,14.00,101.0,0.70,158.1
D'Andre Swift,PHI,135.0,609.0,4.3,42.00,34.00,252.0,1.60,155.5
Samaje Perine,DEN,147.0,630.0,4.4,39.00,32.00,237.0,1.60,154.7
AJ Dillon,GB,162.0,695.0,5.3,34.00,26.00,193.0,0.80,151.4
Isiah Pacheco,KC,186.0,837.0,6.0,17.00,14.00,111.0,1.00,150.8
De'Von Achane,MIA,122.0,579.0,3.9,38.00,28.00,237.0,1.80,143.8
Jerick McKinnon,KC,74.0,298.0,1.5,58.00,46.00,394.0,2.50,139.2
Damien Harris,BUF,148.0,664.0,5.2,25.00,19.00,125.0,,129.1
Khalil Herbert,CHI,138.0,725.0,4.4,12.00,10.00,75.0,0.40,118.8
Jamaal Williams,NO,141.0,563.0,4.5,24.00,19.00,116.0,0.70,118.1
Zach Charbonnet,SEA,119.0,501.0,3.8,28.00,22.00,167.0,1.00,117.6
Devin Singletary,HOU,121.0,519.0,3.9,28.00,22.00,149.0,0.50,115.2
Jeff Wilson,MIA,113.0,487.0,3.6,26.00,20.00,145.0,1.00,110.8
Elijah Mitchell,SF,126.0,600.0,4.0,10.00,8.00,62.0,0.10,98.8
Clyde Edwards-Helaire,KC,82.0,352.0,2.6,27.00,22.00,175.0,1.40,98.7
Tyjae Spears,TEN,88.0,370.0,2.8,27.00,21.00,159.0,1.10,97.3
Chuba Hubbard,CAR,99.0,425.0,3.2,23.00,19.00,140.0,0.40,97.1
Michael Carter,NYJ,74.0,296.0,2.2,35.00,28.00,207.0,0.80,96.3
Raheem Mostert,MIA,96.0,455.0,3.1,15.00,12.00,88.0,1.30,92.7
Roschon Johnson,CHI,90.0,430.0,2.9,20.00,16.00,118.0,0.60,91.8
Rashaad Penny,PHI,124.0,621.0,4.3,3.00,2.00,15.0,,91.4
D'Onta Foreman,CHI,109.0,520.0,3.5,12.00,9.00,64.0,0.30,90.2
Kyren Williams,LA,72.0,288.0,1.8,30.00,24.00,180.0,0.90,87.0
Deuce Vaughn,DAL,31.0,130.0,0.8,42.00,34.00,272.0,1.30,86.8
Tank Bigsby,JAC,111.0,476.0,3.5,11.00,9.00,65.0,,84.1
Kenneth Gainwell,PHI,73.0,319.0,2.5,23.00,18.00,135.0,0.70,82.6
Chase Edmonds,TB,75.0,298.0,1.9,26.00,20.00,146.0,0.60,79.4
Ty Chandler,MIN,71.0,300.0,2.3,23.00,18.00,135.0,0.60,78.9
Pierre Strong,NE,105.0,450.0,3.3,8.00,6.00,41.0,0.40,77.3
Gus Edwards,BAL,103.0,515.0,3.3,3.00,2.00,15.0,,74.8
Tyler Allgeier,ATL,96.0,434.0,3.1,7.00,6.00,42.0,0.40,74.6
Jerome Ford,CLE,78.0,337.0,2.5,17.00,13.00,89.0,,70.6
Kendre Miller,NO,94.0,406.0,3.0,7.00,6.00,42.0,0.20,70.0
Cordarrelle Patterson,ATL,35.0,158.0,1.2,34.00,23.00,151.0,0.90,66.5
Malik Davis,DAL,83.0,347.0,2.6,11.00,9.00,65.0,,65.8
Joshua Kelley,LAC,75.0,300.0,1.9,12.00,9.00,61.0,,56.5
Ameer Abdullah,LV,18.0,72.0,0.4,31.00,24.00,177.0,0.70,55.5
Israel Abanikanda,NYJ,74.0,296.0,2.4,3.00,3.00,19.0,,48.9
Matt Breida,NYG,51.0,216.0,1.3,14.00,11.00,83.0,,48.7
Nyheim Hines,BUF,20.0,85.0,0.6,23.00,18.00,135.0,0.80,48.4
Keaontay Ingram,ARI,64.0,252.0,2.1,7.00,6.00,30.0,,46.8
Corey Clement,ARI,55.0,216.0,1.8,11.00,9.00,44.0,,45.8
Chase Brown,CIN,40.0,170.0,1.3,14.00,11.00,82.0,,44.0
Ty Montgomery,NE,29.0,114.0,0.9,20.00,15.00,92.0,0.40,43.4
JaMycal Hasty,JAC,15.0,66.0,0.5,26.00,20.00,133.0,,42.9
Zamir White,LV,54.0,216.0,1.7,7.00,5.00,34.0,,40.2
Isaiah Spiller,LAC,56.0,211.0,1.4,8.00,6.00,44.0,,39.9
Zack Moss,IND,46.0,207.0,1.2,7.00,6.00,39.0,0.30,39.6
Melvin Gordon,BAL,45.0,224.0,1.4,4.00,3.00,24.0,0.20,37.4
Ronald Jones,DAL,41.0,173.0,1.3,8.00,6.00,37.0,,34.8
Trayveon Williams,CIN,29.0,124.0,0.9,12.00,9.00,66.0,,33.4
Chris Rodriguez,WAS,42.0,178.0,1.4,4.00,3.00,22.0,,31.4
Tony Jones,DEN,42.0,157.0,1.0,8.00,6.00,33.0,,31.0
DeWayne McBride,MIN,45.0,187.0,1.4,3.00,2.00,15.0,,30.6
Justice Hill,BAL,13.0,67.0,0.3,14.00,11.00,77.0,,27.2
Zach Evans,LA,36.0,148.0,1.2,4.00,3.00,20.0,,27.0
Jordan Mason,SF,30.0,137.0,1.0,3.00,3.00,19.0,,24.6
Kene Nwangwu,MIN,18.0,75.0,0.6,8.00,6.00,44.0,0.30,23.3
Ke'Shawn Vaughn,TB,37.0,142.0,0.9,3.00,2.00,14.0,,23.0
Boston Scott,PHI,34.0,142.0,1.2,1.00,1.00,4.0,,22.8
DeeJay Dallas,SEA,19.0,78.0,0.6,6.00,5.00,35.0,0.30,21.7
Raheem Blackshear,CAR,20.0,85.0,0.6,6.00,5.00,36.0,,20.7
Kenny McIntosh,SEA,19.0,74.0,0.6,6.00,4.00,33.0,0.30,20.1
Craig Reynolds,DET,20.0,80.0,0.6,4.00,4.00,30.0,,18.6
Hassan Haskins,TEN,22.0,88.0,0.7,3.00,2.00,17.0,,16.7
Sony Michel,LA,18.0,72.0,0.6,4.00,3.00,21.0,,15.9
D'Ernest Johnson,JAC,11.0,48.0,0.4,5.00,4.00,31.0,,14.3
Chris Evans,CIN,7.0,31.0,,3.00,2.00,18.0,,6.9
Ty'Son Williams,ARI,11.0,43.0,0.4,,,,,6.7
Deneric Prince,KC,4.0,16.0,0.1,2.00,2.00,14.0,,5.6
Deon Jackson,IND,,,,,,,,